template,final_state,bin_low,bin_high,signal,background,signal_raw,background_raw,paper_label,seed,domain_for_likelihood
m4l,FourMuons,70.0,73.05555555555556,0.002509260317310691,0.10717455297708511,2,26,m4l_reference,42,nominal_only
m4l,FourMuons,73.05555555555556,76.11111111111111,0.0,0.09893035143613815,0,24,m4l_reference,42,nominal_only
m4l,FourMuons,76.11111111111111,79.16666666666667,0.0037638903595507145,0.11541875451803207,3,28,m4l_reference,42,nominal_only
m4l,FourMuons,79.16666666666667,82.22222222222223,0.0012546301586553454,0.3380120098590851,1,82,m4l_reference,42,nominal_only
m4l,FourMuons,82.22222222222223,85.27777777777777,0.0012546301586553454,0.54823899269104,1,133,m4l_reference,42,nominal_only
m4l,FourMuons,85.27777777777777,88.33333333333333,0.0037638903595507145,1.6323506832122803,3,396,m4l_reference,42,nominal_only
m4l,FourMuons,88.33333333333333,91.38888888888889,0.002509260317310691,6.426350116729736,2,1559,m4l_reference,42,nominal_only
m4l,FourMuons,91.38888888888889,94.44444444444444,0.0012546301586553454,4.723923683166504,1,1146,m4l_reference,42,nominal_only
m4l,FourMuons,94.44444444444444,97.5,0.002509260317310691,1.1253325939178467,2,273,m4l_reference,42,nominal_only
m4l,FourMuons,97.5,100.55555555555556,0.005018520634621382,0.45755288004875183,4,111,m4l_reference,42,nominal_only
m4l,FourMuons,100.55555555555556,103.61111111111111,0.0037638903595507145,0.2844247817993164,3,69,m4l_reference,42,nominal_only
m4l,FourMuons,103.61111111111111,106.66666666666666,0.005018520634621382,0.25557005405426025,4,62,m4l_reference,42,nominal_only
m4l,FourMuons,106.66666666666666,109.72222222222223,0.005018520634621382,0.2679363489151001,4,65,m4l_reference,42,nominal_only
m4l,FourMuons,109.72222222222223,112.77777777777777,0.020074082538485527,0.2267153412103653,16,55,m4l_reference,42,nominal_only
m4l,FourMuons,112.77777777777777,115.83333333333333,0.030111122876405716,0.3792330026626587,24,92,m4l_reference,42,nominal_only
m4l,FourMuons,115.83333333333333,118.88888888888889,0.0489305704832077,0.3915993273258209,39,95,m4l_reference,42,nominal_only
m4l,FourMuons,118.88888888888889,121.94444444444444,0.1442824751138687,0.36686667799949646,115,89,m4l_reference,42,nominal_only
m4l,FourMuons,121.94444444444444,125.0,1.1504958868026733,0.3091573417186737,917,75,m4l_reference,42,nominal_only
