shard,seed,reference,candidate,delta_leakage_auc,delta_physics_auc,shared_max_abs_mu_bias,split_max_abs_mu_bias,delta_max_abs_mu_bias,material_leakage_improvement,physics_auc_preserved,bias_improved
002,41,shared,balanced,-0.3356517331275821,-0.0010704806051238247,0.013434172867992533,0.022391817472417808,0.008957644604425274,true,true,false
002,42,shared,balanced,-0.3184921975052989,-0.0005974254279851321,0.004758526305732813,0.014579347534361409,0.009820821228628596,true,true,false
002,43,shared,balanced,-0.3178465002045069,-0.0007464082302872654,0.009123021821955124,0.005475474296967819,-0.0036475475249873046,true,true,true
