bin_low,bin_high,observed_count,mc_bkg_weight,mc_sig_weight,sideband_scale_to_observed,mc_bkg_sideband_scaled,mc_total_sideband_scaled,observed_err,in_higgs_window
70.0,73.05555555555556,0,0.19283373840153212,0.0032619930570944,1.2183709586605314,0.2349430267183688,0.2389173443264849,1.0,False
73.05555555555556,76.11111111111111,0,0.2392469644546508,0.0035129154566673,1.2183709586605314,0.29149155343923494,0.2957715876118681,1.0,False
76.11111111111111,79.16666666666667,0,0.3947554156184195,0.0055202955845741,1.2183709586605314,0.48095853416345025,0.4876843019869173,1.0,False
79.16666666666667,82.22222222222223,0,0.7558998912572861,0.0060221410822121,1.2183709586605314,0.920966475162531,0.9283036769660548,1.0,False
82.22222222222223,85.27777777777777,1,1.7001415193080902,0.0072767534293232,1.2183709586605314,2.07140305273797,2.080268837789591,1.0,False
85.27777777777777,88.33333333333333,7,4.39887261390686,0.0060221403837202,1.2183709586605314,5.359458643631259,5.366795844583761,2.6457513110645907,False
88.33333333333333,91.38888888888889,13,12.481239080429077,0.0047675292007623,1.2183709586605314,15.206779223693664,15.212587842816438,3.605551275463989,False
91.38888888888889,94.44444444444444,7,10.208658695220947,0.0050184503197668005,1.2183709586605314,12.437933281134514,12.4440476152616,2.6457513110645907,False
94.44444444444444,97.5,7,2.921515464782715,0.0100369015708564,1.2183709586605314,3.5594895975688843,3.57171826695775,2.6457513110645907,False
97.5,100.55555555555556,2,1.1825489997863767,0.0117933582514522,1.2183709586605314,1.4407833585327803,1.4551520437314291,1.4142135623730951,False
100.55555555555556,103.61111111111111,1,0.7641472816467285,0.0155572323128579,1.2183709586605314,0.9310148560977637,0.9499693361448849,1.0,False
103.61111111111111,106.66666666666666,1,0.6764445304870604,0.024590522050857298,1.2183709586605314,0.8241603710901928,0.8541207490152588,1.0,False
106.66666666666666,109.72222222222224,0,0.7664890289306641,0.0313654318451879,1.2183709586605314,0.933867972981033,0.9720827042470561,1.0,False
109.72222222222224,112.77777777777776,1,0.8701906204223632,0.058715894818305796,1.2183709586605314,1.0602149804213972,1.1317527214797873,1.0,False
112.77777777777776,115.83333333333331,3,0.9336733818054198,0.1053870245814322,1.2183709586605314,1.1375605332660896,1.2659610234357501,1.7320508075688772,False
115.83333333333331,118.88888888888889,2,0.977900505065918,0.2180500477552412,1.2183709586605314,1.1914455758317803,1.4571114215513081,1.4142135623730951,True
118.88888888888889,121.94444444444444,2,1.0871634483337402,0.6117670983076096,1.2183709586605314,1.324568372767068,2.069927638809082,1.4142135623730951,True
121.94444444444444,125.0,4,1.1241788864135742,2.6037072837352753,1.2183709586605314,1.369666907545635,4.54194824690159,2.0,True
125.0,128.05555555555554,7,1.1255345344543457,2.5068527460098267,1.2183709586605314,1.371318589748676,4.425595173125454,2.6457513110645907,True
128.05555555555554,131.11111111111111,1,1.1327152252197266,0.35120725631713856,1.2183709586605314,1.3800673348403378,1.8079680564079852,1.0,True
131.11111111111111,134.16666666666666,1,1.1520729064941406,0.0677362680435179,1.2183709586605314,1.4036521715320909,1.4861800733643584,1.0,True
134.16666666666666,137.22222222222223,1,1.092885971069336,0.0205724239349364,1.2183709586605314,1.3315405282783925,1.3566053721499718,1.0,False
137.22222222222223,140.27777777777777,1,1.0958900451660156,0.0077767372131347,1.2183709586605314,1.3352006049154514,1.3446755556890695,1.0,False
140.27777777777777,143.33333333333331,1,1.1179161071777344,0.0035120248794554,1.2183709586605314,1.3620365192041854,1.3663154683234071,1.0,False
143.33333333333331,146.38888888888889,5,0.9532833099365234,0.0025086402893064,1.2183709586605314,1.1614527002024464,1.1645091546766633,2.23606797749979,False
146.38888888888889,149.44444444444446,3,0.9584560394287109,0.0007526874542235001,1.2183709586605314,1.1677550035927347,1.1686720561279087,1.7320508075688772,False
149.44444444444446,152.5,0,0.9952297210693359,0.0012544393539427,1.2183709586605314,1.2125589893467001,1.2140873618249446,1.0,False
152.5,155.55555555555554,2,0.9404144287109375,0.0002509355545043,1.2183709586605314,1.1457736290467408,1.1460793616388443,1.4142135623730951,False
155.55555555555554,158.6111111111111,3,1.0348434448242188,0.0002509355545043,1.2183709586605314,1.26082319993405,1.2611289325261537,1.7320508075688772,False
158.6111111111111,161.66666666666666,2,0.9483184814453124,0.0015050172805784,1.2183709586605314,1.1554036973540245,1.1572373667009634,1.4142135623730951,False
161.66666666666666,164.72222222222223,1,0.9832210540771484,0.0,1.2183709586605314,1.1979279782311936,1.1979279782311936,1.0,False
164.72222222222223,167.77777777777777,0,1.0328712463378906,0.0002508163452148,1.2183709586605314,1.2584203305735937,1.2587259179245607,1.0,False
167.77777777777777,170.83333333333331,2,1.0732250213623047,0.0002508163452148,1.2183709586605314,1.3075861981356605,1.3078917854866277,1.4142135623730951,False
170.83333333333331,173.88888888888889,2,1.2233829498291016,0.0002508163452148,1.2183709586605314,1.490534257392231,1.4908398447431983,1.4142135623730951,False
173.88888888888889,176.94444444444446,1,1.525735855102539,0.0002509355545043,1.2183709586605314,1.8589122564440261,1.8592179890361296,1.0,False
176.94444444444446,180.0,2,1.914154052734375,0.0,1.2183709586605314,2.3321497082539215,2.3321497082539215,1.4142135623730951,False
