stage,shards,model_rows,paired_transitions,material_leakage_transitions,cleaner_but_not_better,discordant_fraction,spearman_leakage_vs_max_bias,physics_auc_preserved_all_pairs,decision
development,000|001,18,12,6,3,0.5,0.03611971104231166,not_applicable,unlock_separate_shard002_confirmation_design
preregistered_confirmation,002,6,3,3,2,0.6666666666666666,not_estimated,true,proxy_failure_confirmed_on_shard002
