template,paper_label,mu_hat,mu_lo_approx,mu_hi_approx,mu_interval_width,total_signal,total_background,s_over_sqrt_b,asimov_z,num_active_bins,seed,domain_for_likelihood
m4l,m4l_reference,1.0,0.5575,1.5535,0.9960000000000001,6.6972159090219066,62.051435977220535,0.8501946780258173,2.876850601904592,108,42,nominal_only
shared_baseline,shared_baseline,1.0,0.531,1.577,1.0459999999999998,6.700979591929354,215.00973608717322,0.4569926679205712,2.542987605057506,60,42,nominal_only
split_orth_adv,split_candidate,1.0,0.527,1.581,1.0539999999999998,6.700979902641848,215.00973422825336,0.4569926910860293,2.5103606922741464,60,42,nominal_only
